time,row,col,demand
89,1,5,209
596,4,1,34
631,1,0,0
559,4,1,0
147,5,3,4
708,4,7,43
417,1,7,0
530,5,7,15
411,6,5,24
288,2,0,0
500,0,0,8
217,6,3,0
246,6,6,0
11,3,4,77
590,1,0,0
273,7,0,0
595,1,6,230
329,0,4,61
319,2,2,0
555,7,4,10
280,6,7,5
549,7,6,9
535,3,5,31
178,0,7,7
476,1,5,302
264,0,6,56
694,2,3,66
537,2,5,0
325,6,7,6
705,5,6,99
557,3,0,0
682,4,6,0
340,2,1,0
598,5,2,10
39,4,7,77
79,1,0,0
455,2,2,25
484,6,0,0
504,0,4,114
510,4,7,0
257,3,3,161
420,5,4,19
89,5,4,28
480,2,3,100
369,4,0,0
488,0,4,8
440,0,6,13
327,6,3,10
66,7,6,370
142,4,5,129
46,3,2,32
128,1,7,13
159,5,2,32
541,7,2,0
403,2,3,41
338,0,1,6
588,5,2,0
586,1,4,0
425,2,4,31
265,5,4,5
546,7,6,9
537,2,7,15
354,1,4,27
309,0,3,83
81,7,5,6
556,5,5,26
579,3,2,10
714,1,5,56
16,2,2,17
56,1,4,9
101,4,5,0
283,2,1,14
699,1,7,212
18,0,7,161
588,4,6,27
400,7,3,0
225,1,6,16
99,6,3,0
284,0,4,32
142,5,5,24
264,2,1,0
133,1,3,331
279,2,1,0
294,2,2,25
598,1,7,203
106,5,3,10
243,0,5,14
498,6,3,36
471,3,7,48
230,0,5,34
445,2,7,20
120,3,1,7
120,5,0,0
29,6,1,0
58,7,0,0
332,4,0,0
574,7,0,0
677,5,1,0
622,6,1,0
148,0,7,0
283,0,0,0
599,3,0,0
542,6,2,0
196,1,2,12
622,4,4,92
349,7,0,0
237,3,5,50
300,5,2,0
69,5,2,0
389,2,7,37
594,3,5,298
555,3,6,158
393,3,4,0
584,7,4,0
25,5,1,0
362,3,0,11
511,3,5,15
718,4,5,134
404,2,7,23
509,2,1,0
29,1,1,0
346,0,1,0
520,7,2,0
375,6,3,7
595,1,3,210
131,7,4,0
130,3,3,118
638,1,6,30
421,0,2,113
92,7,1,0
366,7,2,0
206,7,4,0
695,5,4,21
388,7,7,18
490,0,1,0
419,3,0,0
120,0,0,4
270,6,3,0
185,7,4,0
25,0,2,9
619,2,2,28
706,7,2,0
194,7,4,0
459,4,4,69
10,7,0,0
105,6,6,0
347,3,4,10
142,3,7,7
631,2,0,0
228,1,6,5
172,7,7,4
161,6,4,77
490,6,6,22
117,0,0,4
180,5,4,4
555,3,0,0
41,6,4,80
49,0,0,3
632,5,5,0
483,0,1,22
91,6,6,6
60,7,1,0
366,0,3,22
89,4,3,16
32,7,6,29
480,7,2,14
223,7,7,0
289,3,6,58
296,7,6,0
432,1,1,13
124,0,0,0
220,3,5,21
444,6,1,0
245,0,5,9
515,2,0,0
624,1,1,19
105,3,5,27
172,1,3,43
643,5,7,86
690,2,2,0
718,7,5,0
179,0,1,12
111,0,0,0
35,4,0,3
156,7,5,11
432,0,1,13
676,1,7,128
691,2,4,0
118,4,0,4
672,5,4,0
397,6,2,0
675,6,7,41
29,6,4,0
592,3,1,0
362,2,6,341
206,2,3,53
172,6,1,0
22,2,3,106
632,1,0,0
479,6,6,56
717,1,4,35
659,5,0,0
260,0,6,80
270,0,0,5
103,7,2,0
472,0,2,42
373,5,6,22
177,6,1,0
574,1,2,126
718,7,4,0
475,4,5,61
411,4,0,7
722,5,4,59
25,4,0,0
194,6,6,8
472,2,2,21
256,5,4,9
584,7,3,17
158,4,0,0
673,7,6,41
188,7,1,0
342,6,5,6
116,5,4,10
360,6,3,0
394,1,5,0
373,7,0,0
360,4,0,0
158,5,4,18
101,2,5,6
117,3,4,46
433,2,2,144
537,5,2,0
514,6,7,0
323,1,5,6
378,2,1,17
389,5,0,0
354,7,0,0
16,7,7,5
536,5,6,0
523,3,0,0
9,4,0,0
665,4,5,243
123,0,0,13
699,2,0,0
53,1,7,0
689,6,3,0
249,5,4,0
181,6,7,0
435,3,0,0
115,2,5,43
694,1,6,226
620,6,5,0
223,7,0,0
313,1,4,42
688,3,1,33
638,7,6,0
650,3,0,0
53,7,0,0
625,0,7,134
350,1,5,179
185,5,5,24
50,0,0,6
11,1,1,0
78,3,7,0
496,2,4,153
682,6,2,0
67,5,6,508
692,3,0,0
549,2,7,80
666,1,2,153
549,1,0,0
645,4,7,49
181,5,5,24
347,3,6,0
177,7,4,15
150,4,4,7
179,7,3,0
143,1,0,0
28,4,6,0
209,3,3,93
285,0,6,65
671,6,1,0
1,2,1,0
616,7,5,11
491,4,6,0
168,4,7,19
126,6,4,0
333,4,2,10
120,4,1,13
466,2,3,21
260,5,0,0
283,6,5,38
676,5,5,74
35,1,4,135
352,6,3,27
115,3,3,106
294,3,7,9
193,5,6,5
105,4,7,27
148,2,7,0
267,7,6,9
0,2,2,3
319,4,0,0
382,6,5,35
610,1,0,0
116,3,7,50
36,3,1,3
657,0,6,12
586,7,5,0
77,3,2,10
318,0,2,10
211,1,1,5
456,0,7,56
272,3,2,23
305,5,5,34
609,4,2,0
693,6,3,0
407,0,4,261
265,1,3,79
166,7,0,0
600,0,0,0
714,3,2,22
389,6,6,0
237,1,1,5
282,6,3,9
359,1,0,0
301,6,3,0
450,0,7,53
273,7,5,0
346,4,7,0
174,7,7,0
113,5,0,0
488,6,3,0
694,4,5,95
429,2,1,7
228,1,0,0
61,0,2,39
300,0,6,9
489,3,4,0
545,5,1,0
627,4,6,67
314,5,1,10
41,3,1,3
652,4,3,133
270,5,0,0
608,2,4,0
349,3,0,0
15,2,5,101
289,4,4,30
167,7,2,0
225,6,3,0
697,3,0,0
249,4,1,0
96,1,4,10
687,7,1,0
57,5,5,124
720,5,4,95
168,7,7,4
390,7,3,0
77,7,1,0
15,3,3,44
529,1,5,129
529,2,4,104
523,4,1,9
368,7,0,0
568,7,2,0
670,6,4,20
66,1,0,0
498,7,5,22
611,7,1,0
128,4,3,7
72,6,0,0
627,1,1,37
111,5,1,0
316,6,3,0
597,6,7,78
28,1,0,0
170,2,0,0
501,4,2,0
144,4,0,0
314,0,0,0
42,1,5,1084
338,7,3,6
459,7,4,8
117,5,3,4
150,4,6,0
116,0,0,10
329,3,0,0
328,7,1,0
572,4,4,116
269,3,7,9
232,1,6,5
18,2,2,27
153,0,7,169
121,7,4,4
552,1,5,445
99,3,4,17
369,2,5,7
555,7,2,0
352,3,6,108
239,7,1,0
703,1,0,0
231,2,4,21
546,4,1,49
251,3,4,106
296,6,1,0
374,7,0,0
234,0,2,13
197,0,1,5
640,5,0,0
443,5,3,8
725,0,7,731
216,6,4,8
69,1,7,259
378,4,4,22
79,4,2,0
444,0,7,13
364,1,6,74
681,0,7,0
262,6,5,14
227,2,7,8
326,1,7,148
28,7,4,3
218,7,1,0
616,6,5,11
215,7,3,0
585,2,1,0
508,4,5,91
110,0,0,0
230,0,2,13
551,7,7,31
336,3,6,351
575,6,3,0
308,3,1,0
114,4,2,0
690,0,4,0
34,4,1,18
191,0,3,53
393,3,2,0
87,7,6,6
660,1,2,20
200,4,7,0
329,2,3,129
460,0,4,27
243,5,4,14
592,3,2,27
467,3,0,0
324,7,3,0
305,3,3,55
266,6,1,0
378,3,6,177
706,5,5,43
619,2,6,121
266,2,5,56
557,4,0,0
22,2,2,14
22,5,4,8
603,5,6,28
214,5,4,16
271,4,1,0
222,1,7,0
184,2,6,24
506,5,4,9
389,0,3,41
663,5,1,0
476,2,1,0
31,6,6,0
372,4,5,17
593,1,1,0
145,4,0,4
259,7,1,0
58,0,4,301
547,7,6,15
276,4,1,5
21,2,5,150
275,6,2,0
346,5,7,0
64,4,6,292
417,3,5,0
0,6,4,0
342,6,1,0
178,7,5,0
602,7,6,18
306,2,1,0
599,2,6,318
462,2,7,27
616,4,4,46
692,3,2,0
520,2,5,176
704,1,2,69
533,2,7,169
34,0,7,444
689,2,7,0
316,4,5,46
414,3,2,12
108,5,5,23
329,0,5,61
430,0,7,118
563,7,5,0
7,2,7,0
587,7,0,0
198,2,4,0
607,5,7,11
49,6,4,6
716,4,4,78
459,2,2,69
135,5,3,0
86,3,1,10
612,4,7,0
367,7,7,0
234,6,4,13
9,4,4,71
300,2,3,15
492,2,6,109
564,5,7,26
695,7,4,12
273,4,1,0
343,2,5,0
163,1,3,73
669,6,6,114
479,7,4,8
411,2,7,75
462,1,0,0
366,5,3,7
534,4,5,25
588,7,3,0
501,6,1,0
154,2,0,0
225,3,5,13
371,3,4,0
530,0,6,200
426,7,1,0
294,0,7,15
83,4,5,205
448,1,6,25
322,1,6,20
436,2,2,25
406,0,4,96
662,0,3,133
2,3,2,0
63,6,1,3
562,3,1,0
357,3,5,291
701,1,5,1102
19,5,7,11
575,5,4,52
580,4,7,186
317,0,2,6
467,3,1,0
689,1,1,0
5,3,1,0
388,5,1,7
111,2,0,0
654,5,0,0
605,5,7,46
468,7,6,8
171,1,7,0
633,6,1,0
330,1,1,0
151,1,6,0
282,4,6,18
501,0,2,117
7,6,0,0
445,7,6,0
152,2,0,23
158,3,2,0
179,2,3,0
143,2,6,94
491,1,2,8
223,3,2,0
326,5,7,32
670,7,3,0
581,3,3,34
564,2,4,52
341,6,6,0
409,1,1,39
580,5,3,17
154,6,2,0
280,1,1,0
224,5,4,0
703,5,4,78
199,4,2,0
253,0,6,17
355,3,3,33
164,6,4,14
30,6,5,0
631,6,5,11
291,4,3,6
257,2,0,5
646,3,5,134
432,1,3,184
168,5,5,24
504,7,2,0
660,6,0,0
144,3,7,30
245,3,7,0
657,1,3,0
279,7,2,0
640,5,6,19
318,3,5,46
656,6,4,0
182,3,6,19
609,5,3,0
654,4,5,63
710,3,4,0
651,5,4,39
97,5,3,13
560,0,6,10
531,6,6,9
166,1,3,151
119,5,6,6
688,2,7,181
646,6,0,0
647,4,0,11
687,3,5,0
57,6,5,94
60,6,5,9
674,2,3,247
403,0,0,0
516,4,5,53
628,6,3,19
310,0,5,206
672,1,5,654
332,4,7,57
169,6,0,0
535,6,7,0
532,6,4,15
647,2,7,231
301,6,5,177
166,1,6,853
596,7,2,0
611,2,3,11
299,1,7,0
1,7,0,0
535,0,7,0
516,7,1,0
526,5,7,114
533,5,0,0
580,6,4,17
153,2,6,297
629,7,4,60
1,4,4,0
26,3,7,3
104,4,1,0
111,0,6,40
643,2,6,86
136,3,6,1189
343,4,7,10
721,7,7,23
261,4,5,116
114,5,6,23
35,0,3,221
656,5,6,0
586,5,1,0
267,1,2,18
15,7,0,0
547,2,3,111
252,0,4,5
303,5,2,6
75,2,2,4
116,1,7,54
295,6,0,0
647,1,5,134
720,4,7,222
264,6,7,5
287,7,1,0
269,3,0,0
27,7,1,0
64,1,1,3
501,7,1,0
341,3,3,54
229,3,3,5
716,3,7,190
522,7,0,0
417,3,6,0
199,1,5,0
410,0,6,493
26,5,6,0
396,5,7,48
688,2,2,74
350,2,3,91
604,2,6,103
290,6,2,0
152,6,6,7
372,5,2,0
610,7,7,0
129,3,2,28
278,5,5,9
25,7,4,0
180,3,2,4
514,7,1,0
317,6,5,10
667,6,2,0
120,1,5,17
399,2,4,138
170,6,5,0
559,0,3,10
68,3,6,1712
41,2,5,392
584,7,7,10
601,0,7,196
507,4,5,47
721,2,3,200
614,4,1,18
171,7,0,0
527,0,2,53
382,3,3,35
506,2,2,38
603,2,0,0
25,2,2,9
544,7,1,0
697,6,0,0
384,6,7,30
219,2,2,13
453,3,1,8
296,0,0,6
26,6,4,0
193,4,1,8
545,6,3,25
357,5,0,10
353,4,0,6
100,7,1,0
297,0,5,0
653,6,2,0
226,7,2,0
605,2,3,103
433,5,4,66
574,1,7,184
13,1,0,0
191,2,3,53
459,6,5,21
606,1,7,36
595,5,6,230
552,4,2,10
328,4,0,10
578,5,2,0
437,3,7,58
372,0,3,107
564,0,1,0
90,4,5,63
476,4,4,48
314,0,2,36
177,3,4,4
485,1,1,0
14,2,6,147
78,6,1,4
121,0,3,21
297,6,6,6
687,2,5,0
172,1,6,12
528,5,6,295
118,3,6,54
49,7,0,0
7,3,5,5
364,3,4,7
401,2,5,160
380,2,4,50
492,3,5,0
704,3,1,0
74,5,0,0
609,6,3,0
219,1,6,8
55,0,3,0
719,4,7,112
670,5,0,0
494,7,4,8
101,6,7,4
578,2,7,88
426,5,6,55
587,0,7,17
539,4,5,0
171,3,4,0
439,7,6,0
417,6,7,0
699,6,4,13
542,5,3,15
487,6,1,0
106,0,6,4
402,4,1,41
667,0,3,165
91,0,7,85
149,1,6,11
604,7,7,28
477,7,0,0
613,5,5,28
400,5,2,0
716,7,3,56
2,4,2,0
441,1,4,8
78,7,5,0
512,5,2,0
524,7,2,0
669,3,2,0
149,0,4,0
507,0,4,85
222,6,6,0
197,6,4,0
329,6,1,0
189,5,0,0
707,0,1,0
512,7,0,0
533,4,5,49
469,0,4,180
272,1,4,0
1,5,3,0
278,3,5,5
616,3,7,36
721,0,1,73
472,1,4,125
59,1,5,207
103,5,3,4
180,1,6,12
284,1,1,5
293,5,5,25
608,3,2,0
239,4,5,21
480,4,7,72
277,0,2,0
91,4,1,6
205,4,6,8
33,3,2,89
330,6,1,0
155,5,3,224
390,7,5,7
491,2,1,0
682,6,7,0
201,3,1,0
473,4,4,61
246,4,0,0
455,2,7,111
354,0,2,37
275,2,5,0
570,4,2,0
652,4,1,0
501,2,2,50
487,7,1,0
581,3,0,0
591,5,2,0
167,6,1,0
222,3,4,0
453,4,0,0
11,5,2,0
595,2,5,210
565,1,1,0
593,0,4,78
141,4,2,0
707,3,2,13
605,1,0,11
402,4,2,0
358,3,5,399
261,1,3,97
294,3,2,0
445,3,5,25
66,6,0,0
531,3,5,215
317,6,1,6
282,1,3,38
216,7,3,13
626,6,1,0
427,2,7,39
316,5,7,20
582,4,0,0
218,5,6,8
213,6,1,8
195,4,3,53
374,0,2,114
531,2,6,255
658,3,7,12
535,7,7,0
416,2,2,12
97,6,0,0
500,4,3,267
540,6,2,15
203,2,1,5
121,0,2,24
378,0,0,7
599,4,4,203
317,4,4,42
451,0,3,40
451,7,3,0
551,0,2,49
688,4,3,41
604,6,1,0
450,6,2,0
690,2,3,12
357,6,2,0
620,2,7,57
23,6,2,0
679,6,5,0
57,7,7,21
117,6,6,10
377,4,0,0
463,5,4,0
427,4,3,31
605,7,5,11
408,1,3,188
237,5,3,8
311,0,6,750
618,4,6,28
465,4,1,0
121,2,4,39
514,2,0,0
730,7,7,23
268,6,4,14
412,6,6,12
689,3,7,0
372,7,0,0
574,5,7,32
503,3,6,1000
475,1,1,13
491,0,2,22
499,4,7,72
367,5,2,0
17,7,7,3
35,0,2,77
609,5,7,18
166,3,7,234
396,4,5,18
174,6,2,7
260,7,1,0
522,2,1,0
678,0,5,12
454,3,2,8
706,4,5,91
304,3,1,0
344,3,3,10
700,5,7,147
634,0,2,0
13,5,3,8
193,6,5,48
396,2,5,30
668,6,0,0
593,4,1,34
651,7,0,0
226,6,3,0
706,4,3,156
583,4,0,0
227,6,3,0
140,6,0,0
16,1,0,0
444,6,2,0
339,7,1,0
524,7,1,0
634,5,3,0
97,1,1,0
232,4,5,16
651,3,6,122
492,1,2,100
650,0,3,153
657,5,7,0
39,2,1,0
152,1,5,55
596,5,2,34
437,3,3,33
483,5,4,45
628,2,2,86
85,0,0,35
33,4,4,298
150,2,6,4
612,7,1,0
535,7,6,0
223,1,7,0
87,2,1,19
549,5,1,0
73,7,5,4
537,7,3,0
350,4,2,0
216,5,0,0
245,5,5,0
642,7,3,0
601,5,0,0
567,1,1,16
54,3,2,0
541,1,0,55
254,1,6,36
468,2,2,21
270,2,3,5
292,6,0,0
152,6,2,0
321,3,1,0
98,0,1,0
557,3,6,110
115,6,1,4
119,0,7,27
336,0,7,439
347,3,5,17
653,7,4,0
680,1,2,12
262,4,6,164
408,6,0,0
593,1,3,186
296,5,1,0
703,6,5,35
537,1,0,0
401,5,0,0
365,1,2,28
439,1,2,25
119,6,1,0
641,7,2,0
533,4,0,0
424,2,2,39
617,0,7,57
315,0,0,10
194,4,2,0
83,2,2,47
503,0,3,254
507,6,2,0
626,1,6,60
48,1,4,9
418,7,6,0
114,4,3,27
700,0,7,238
605,4,0,0
348,5,3,6
107,7,7,0
534,2,6,40
624,2,6,194
193,7,1,0
566,1,5,219
618,2,3,57
135,0,0,7
591,6,2,0
393,6,3,0
459,2,3,96
478,0,5,165
467,5,6,0
581,2,7,98
157,3,6,187
526,3,0,0
285,6,7,9
228,4,2,0
499,1,6,209
569,1,7,135
481,6,4,0
235,2,7,26
37,6,6,57
216,3,2,37
458,7,4,0
409,7,1,0
111,7,3,6
270,2,2,5
711,5,2,0
701,0,4,294
322,4,3,6
279,3,6,23
25,2,6,20
441,7,4,0
586,7,6,0
231,1,6,0
557,0,1,0
713,4,1,0
368,0,5,7
332,5,7,36
607,0,1,11
118,2,2,40
539,0,7,0
14,5,4,0
73,0,2,19
87,5,4,22
171,7,2,0
209,4,7,85
731,6,2,0
87,6,3,19
688,4,7,86
566,7,0,0
346,7,4,0
488,2,3,0
557,1,3,74
230,4,7,13
39,7,3,3
39,3,7,49
563,4,0,0
52,6,3,0
606,0,7,46
13,3,1,5
147,6,2,0
441,2,2,13
177,4,1,0
655,3,7,0
731,0,4,104
426,3,2,12
656,7,2,0
117,5,2,4
670,2,0,0
18,1,5,522
637,4,6,11
385,6,6,0
687,6,4,0
109,1,6,23
569,4,7,32
25,3,1,6
357,3,2,21
526,1,0,9
430,1,6,43
533,6,2,0
324,6,7,6
96,7,1,0
242,4,7,22
459,7,0,0
376,6,7,7
80,3,1,0
48,6,0,0
687,7,3,0
532,6,7,25
576,5,5,308
664,4,3,31
616,0,1,11
227,0,5,0
625,0,3,146
193,4,7,40
304,2,6,92
467,4,0,0
4,6,0,0
304,7,4,6
5,2,0,0
516,3,0,0
631,6,0,0
683,7,0,0
519,3,5,219
58,4,6,60
473,2,6,180
163,5,4,142
16,2,5,213
130,3,4,80
357,1,3,108
343,5,5,17
330,7,5,16
185,0,2,27
603,0,7,128
686,3,3,0
605,5,4,0
238,7,3,0
461,6,3,0
30,3,4,3
371,3,5,7
617,7,1,0
204,0,3,53
522,6,2,9
675,3,0,21
251,4,4,22
15,3,2,5
715,4,3,91
671,3,1,71
668,7,7,0
70,2,7,169
166,3,5,1079
399,6,1,7
333,1,6,293
136,5,5,331
327,0,1,10
236,7,0,0
221,6,2,0
28,3,0,20
326,6,1,0
693,6,2,0
130,3,7,48
81,4,7,148
586,4,1,0
519,3,7,129
266,5,5,38
151,3,5,11
695,5,5,21
357,5,7,60
194,4,4,20
67,6,5,186
514,6,0,0
534,7,7,0
280,3,4,23
541,4,2,0
207,6,3,0
331,1,6,97
163,6,5,25
151,0,7,4
135,7,3,0
422,0,2,87
548,0,6,264
31,0,3,0
657,0,4,0
569,6,0,0
711,0,6,0
308,5,2,0
679,7,5,0
676,2,5,161
686,4,1,0
672,1,3,161
644,2,3,37
528,2,0,0
701,5,0,0
320,3,0,0
503,2,1,8
586,2,4,10
617,6,0,0
595,2,7,105
244,3,5,9
487,2,2,0
108,7,3,0
223,3,6,5
300,6,3,0
72,5,0,0
232,6,3,0
329,5,2,36
55,3,2,0
245,4,3,14
217,0,2,21
10,0,7,153
716,5,0,0
34,0,3,387
149,3,5,0
392,6,0,0
693,2,2,107
0,4,0,0
28,7,2,0
124,7,7,0
482,3,2,14
158,3,5,414
90,2,6,168
720,4,4,73
328,3,6,103
722,0,7,390
438,5,6,0
36,5,5,118
493,0,7,100
132,1,4,126
166,1,5,535
372,3,2,46
295,3,0,0
680,6,1,0
501,7,3,8
147,2,7,7
628,0,1,19
683,4,7,0
399,7,2,0
461,4,6,56
217,5,0,0
639,2,4,108
607,1,4,18
31,5,6,0
45,1,7,66
39,1,7,143
130,5,5,115
88,7,1,0
540,5,4,0
647,5,7,108
262,2,3,53
43,5,6,269
723,7,4,14
397,5,5,60
674,0,0,12
646,0,3,146
667,5,7,694
407,2,7,238
416,6,0,0
578,1,5,352
583,5,7,10
689,2,2,0
200,5,7,0
230,3,7,13
314,2,6,206
72,4,2,0
317,2,5,51
384,5,0,0
408,3,1,39
145,6,7,7
467,1,1,0
604,6,2,0
725,3,5,2051
645,3,3,60
469,5,5,82
277,0,4,0
75,6,4,0
322,5,5,6
362,5,7,17
449,6,6,0
239,6,3,8
381,1,6,262
362,3,1,0
212,3,4,33
621,4,0,0
272,2,7,0
70,7,3,0
106,0,1,4
391,5,7,7
368,1,0,0
614,5,5,36
496,1,2,81
280,0,0,0
141,0,5,192
258,3,6,80
383,4,3,28
505,4,6,214
556,2,4,16
128,0,0,13
660,6,7,51
17,0,3,41
24,3,0,0
211,4,0,0
683,6,3,0
291,5,2,0
586,6,6,0
630,1,5,19
359,0,2,54
678,2,5,12
230,5,4,26
305,7,0,0
159,5,5,215
216,4,4,8
35,5,3,11
419,5,4,0
0,3,0,0
279,3,1,9
293,5,2,0
365,0,5,39
269,5,0,0
529,7,4,31
520,2,2,53
669,1,4,165
92,6,1,0
234,5,3,5
177,4,4,4
199,1,2,0
130,6,3,0
486,0,0,0
671,6,3,39
151,2,3,0
373,0,0,22
112,2,3,29
344,1,0,0
331,7,7,6
562,3,3,0
139,2,5,499
498,3,1,14
669,2,2,63
351,3,0,0
12,2,3,194
652,5,6,12
671,1,6,1325
236,3,4,29
188,2,4,62
314,0,1,32
693,4,6,41
46,3,4,32
75,7,3,0
167,1,3,62
514,1,7,0
17,7,2,0
139,4,7,70
715,5,4,69
122,5,1,0
729,4,0,0
627,4,0,11
232,2,3,8
480,7,7,45
625,2,2,157
555,6,1,0
417,4,0,0
63,7,2,3
537,0,2,0
94,0,3,57
690,7,5,0
566,4,2,0
685,0,2,309
111,2,1,70
294,2,1,0
171,0,1,0
472,3,1,8
44,6,1,0
205,1,6,61
175,5,2,0
307,7,6,0
400,0,3,101
115,2,3,66
555,1,4,32
669,4,7,71
17,6,0,0
690,3,1,0
485,0,1,8
131,2,5,143
281,2,5,65
238,3,1,5
658,4,0,0
46,7,1,0
296,2,4,6
168,3,2,19
8,7,0,0
505,4,1,0
117,3,1,10
55,7,1,0
456,6,7,69
585,4,7,17
200,7,5,0
13,3,3,90
695,6,2,12
489,2,1,0
501,6,2,0
406,4,5,417
628,0,7,78
638,5,6,19
7,0,3,11
247,0,2,0
486,4,7,45
359,2,6,1476
247,3,3,0
24,2,0,0
590,6,3,27
102,1,1,0
218,7,7,5
451,6,7,8
454,0,7,99
354,6,5,27
352,0,3,102
422,1,2,70
423,5,1,0
450,5,1,0
406,1,4,227
600,6,7,92
219,0,7,16
562,5,7,16
313,1,7,97
613,4,3,11
475,6,2,0
605,0,5,28
349,4,6,37
573,3,4,184
505,5,2,0
702,2,6,2036
654,3,0,0
37,0,6,163
433,6,1,25
216,0,5,29
564,6,2,0
47,6,1,0
96,3,0,0
235,4,7,16
185,0,4,19
599,4,0,0
365,2,2,11
371,5,1,0
710,7,5,0
182,2,7,24
730,7,6,36
534,4,7,15
65,1,7,425
675,5,2,12
355,6,7,6
174,0,2,0
406,3,2,18
661,4,7,141
209,1,6,85
558,4,2,16
695,7,1,0
511,0,3,15
312,6,3,0
415,3,1,0
148,6,1,0
84,2,7,117
426,0,4,75
657,4,4,0
704,5,4,43
310,5,3,55
378,5,7,28
270,6,5,9
615,4,2,0
59,0,0,0
30,4,6,0
595,1,2,122
493,5,1,0
506,2,6,295
383,4,0,46
481,5,7,36
465,2,5,0
116,0,1,17
380,4,2,7
13,7,2,0
15,4,7,51
36,6,2,0
571,2,7,110
556,0,2,32
175,6,2,0
712,4,1,0
327,7,4,0
706,5,0,0
34,0,0,23
413,0,4,12
218,7,4,5
230,4,5,55
247,6,7,5
395,5,1,0
603,4,5,128
193,1,1,5
34,0,5,229
397,1,4,41
19,2,5,418
603,7,3,11
68,1,3,222
702,3,2,22
55,4,0,0
715,0,3,99
699,3,2,13
343,2,0,0
81,7,7,10
523,1,5,123
682,7,6,12
270,1,7,14
63,2,2,39
28,5,2,6
35,0,1,9
499,2,1,0
285,7,2,0
616,4,6,18
502,4,1,0
144,4,7,7
333,6,3,51
351,6,2,0
412,2,5,156
157,2,4,114
100,5,1,0
697,2,5,259
573,5,4,16
58,1,7,451
291,6,7,0
513,6,2,0
728,6,7,449
270,3,0,0
235,6,6,16
513,7,6,0
419,7,3,0
175,0,2,0
585,5,3,0
147,4,3,11
360,0,0,0
39,7,1,0
628,5,7,78
140,2,7,87
231,4,6,13
109,3,1,4
526,1,5,290
633,1,0,0
701,6,3,13
716,3,1,0
30,2,3,6
585,6,5,17
675,0,3,74
493,1,6,45
11,5,4,24
232,1,5,26
356,2,7,60
580,2,2,105
681,5,5,0
721,1,1,0
537,7,0,0
609,0,5,18
415,6,5,0
23,3,3,8
8,2,0,5
715,2,6,203
684,2,7,54
15,2,6,150
606,4,5,46
694,4,7,54
709,6,3,13
544,7,4,25
419,4,4,0
